full_text,lower_case,remove_slang,remove_elongation,emoji_to_text,tweet_tokens,stem,remove_stopwords,remove_stop_words_nltk
@likromiahooy Paginya ppn naik 12%,@likromiahooy paginya ppn naik 12,@likromiahooy paginya ppn naik 12,@likromiahooy paginya ppn naik 12,@likromiahooy paginya ppn naik 12,"['paginya', 'ppn', 'naik', '12']","['pagi', 'ppn', 'naik', '12']","['pagi', 'ppn', '12']","['pagi', 'ppn', '12']"
@AdamVelcro 1. Krn sudah dikondisikan di media kalau kenaikan ppn 12% diinisiasi PDIP. Jadi dia berharap kalau tetap naik rakyat akan semakin ga suka dg PDIP. 2. Ini pemerintahan Prabowo. Jadi dia berharap pilpres 2029 rakyat ga milih Prabowo lagi. Tapi akan pilh kang susu asam sulfat,@adamvelcro 1 krn sudah dikondisikan di media kalau kenaikan ppn 12 diinisiasi pdip jadi dia berharap kalau tetap naik rakyat akan semakin ga suka dg pdip 2 ini pemerintahan prabowo jadi dia berharap pilpres 2029 rakyat ga milih prabowo lagi tapi akan pilh kang susu asam sulfat,@adamvelcro 1 karena sudah dikondisikan di media kalau kenaikan ppn 12 diinisiasi pdip jadi dia berharap kalau tetap naik rakyat akan semakin enggak suka dengan pdip 2 ini pemerintahan prabowo jadi dia berharap pilpres 2029 rakyat enggak memilih prabowo lagi tapi akan pilh kang susu asam sulfat,@adamvelcro 1 karena sudah dikondisikan di media kalau kenaikan ppn 12 diinisiasi pdip jadi dia berharap kalau tetap naik rakyat akan semakin enggak suka dengan pdip 2 ini pemerintahan prabowo jadi dia berharap pilpres 2029 rakyat enggak memilih prabowo lagi tapi akan pilh kang susu asam sulfat,@adamvelcro 1 karena sudah dikondisikan di media kalau kenaikan ppn 12 diinisiasi pdip jadi dia berharap kalau tetap naik rakyat akan semakin enggak suka dengan pdip 2 ini pemerintahan prabowo jadi dia berharap pilpres 2029 rakyat enggak memilih prabowo lagi tapi akan pilh kang susu asam sulfat,"['1', 'karena', 'sudah', 'dikondisikan', 'di', 'media', 'kalau', 'kenaikan', 'ppn', '12', 'diinisiasi', 'pdip', 'jadi', 'dia', 'berharap', 'kalau', 'tetap', 'naik', 'rakyat', 'akan', 'semakin', 'enggak', 'suka', 'dengan', 'pdip', '2', 'ini', 'pemerintahan', 'prabowo', 'jadi', 'dia', 'berharap', 'pilpres', '2029', 'rakyat', 'enggak', 'memilih', 'prabowo', 'lagi', 'tapi', 'akan', 'pilh', 'kang', 'susu', 'asam', 'sulfat']","['1', 'karena', 'sudah', 'kondisi', 'di', 'media', 'kalau', 'kenaikan', 'ppn', '12', 'inisiasi', 'pdip', 'jadi', 'dia', 'harap', 'kalau', 'tetap', 'naik', 'rakyat', 'akan', 'semakin', 'tidak', 'suka', 'dengan', 'pdip', '2', 'ini', 'perintah', 'prabowo', 'jadi', 'dia', 'harap', 'pilpres', '2029', 'rakyat', 'tidak', 'pilih', 'prabowo', 'lagi', 'tapi', 'akan', 'pilh', 'kang', 'susu', 'asam', 'sulfat']","['1', 'kondisi', 'media', 'kenaikan', 'ppn', '12', 'inisiasi', 'pdip', 'harap', 'rakyat', 'suka', 'pdip', '2', 'perintah', 'prabowo', 'harap', 'pilpres', '2029', 'rakyat', 'pilih', 'prabowo', 'pilh', 'kang', 'susu', 'asam', 'sulfat']","['1', 'kondisi', 'media', 'kenaikan', 'ppn', '12', 'inisiasi', 'pdip', 'harap', 'rakyat', 'suka', 'pdip', '2', 'perintah', 'prabowo', 'harap', 'pilpres', '2029', 'rakyat', 'pilih', 'prabowo', 'pilh', 'kang', 'susu', 'asam', 'sulfat']"
@exhumaclown rapat ppn krn naik jadi 12% kah?,@exhumaclown rapat ppn krn naik jadi 12 kah,@exhumaclown rapat ppn karena naik jadi 12 kah,@exhumaclown rapat ppn karena naik jadi 12 kah,@exhumaclown rapat ppn karena naik jadi 12 kah,"['rapat', 'ppn', 'karena', 'naik', 'jadi', '12', 'kah']","['rapat', 'ppn', 'karena', 'naik', 'jadi', '12', 'kah']","['rapat', 'ppn', '12', 'kah']","['rapat', 'ppn', '12']"
Apakah ini hari pemborosan sebelum ppn naik 12%? ,apakah ini hari pemborosan sebelum ppn naik 12 ,apakah ini hari pemborosan sebelum ppn naik 12 ,apakah ini hari pemborosan sebelum ppn naik 12 ,apakah ini hari pemborosan sebelum ppn naik 12 ,"['apakah', 'ini', 'hari', 'pemborosan', 'sebelum', 'ppn', 'naik', '12']","['apakah', 'ini', 'hari', 'boros', 'belum', 'ppn', 'naik', '12']","['boros', 'ppn', '12']","['boros', 'ppn', '12']"
@kompascom Kl pabrik / usaha nya yg memproduksi produk pangan tersebut kena ppn 12% ya berpotensi scr tdk lgs akan naik jg harganya pak..,@kompascom kl pabrik  usaha nya yg memproduksi produk pangan tersebut kena ppn 12 ya berpotensi scr tdk lgs akan naik jg harganya pak,@kompascom kalo pabrik  usaha nya yang memproduksi produk pangan tersebut kena ppn 12 ya berpotensi secara tidak langsung akan naik juga harganya pak,@kompascom kalo pabrik  usaha nya yang memproduksi produk pangan tersebut kena ppn 12 ya berpotensi secara tidak langsung akan naik juga harganya pak,@kompascom kalo pabrik  usaha nya yang memproduksi produk pangan tersebut kena ppn 12 ya berpotensi secara tidak langsung akan naik juga harganya pak,"['kalo', 'pabrik', 'usaha', 'nya', 'yang', 'memproduksi', 'produk', 'pangan', 'tersebut', 'kena', 'ppn', '12', 'ya', 'berpotensi', 'secara', 'tidak', 'langsung', 'akan', 'naik', 'juga', 'harganya', 'pak']","['kalau', 'pabrik', 'usaha', 'nya', 'yang', 'memproduksi', 'produk', 'pangan', 'sebut', 'kena', 'ppn', '12', 'iya', 'potensi', 'cara', 'tidak', 'langsung', 'akan', 'naik', 'juga', 'harga', 'pak']","['pabrik', 'usaha', 'nya', 'memproduksi', 'produk', 'pangan', 'kena', 'ppn', '12', 'iya', 'potensi', 'langsung', 'harga']","['pabrik', 'usaha', 'memproduksi', 'produk', 'pangan', 'kena', 'ppn', '12', 'potensi', 'langsung', 'harga']"
idih besok PPN naik 12% ,idih besok ppn naik 12 ,idih besok ppn naik 12 ,idih besok ppn naik 12 ,idih besok ppn naik 12 ,"['idih', 'besok', 'ppn', 'naik', '12']","['idih', 'besok', 'ppn', 'naik', '12']","['idih', 'besok', 'ppn', '12']","['idih', 'besok', 'ppn', '12']"
Ini beneran nih besok ppn naik jadi 12%?,ini beneran nih besok ppn naik jadi 12,ini benaran nih besok ppn naik jadi 12,ini benaran nih besok ppn naik jadi 12,ini benaran nih besok ppn naik jadi 12,"['ini', 'benaran', 'nih', 'besok', 'ppn', 'naik', 'jadi', '12']","['ini', 'benar', 'ini', 'besok', 'ppn', 'naik', 'jadi', '12']","['besok', 'ppn', '12']","['besok', 'ppn', '12']"
Sehari sebelum ppn naik jadi 12%,sehari sebelum ppn naik jadi 12,sehari sebelum ppn naik jadi 12,sehari sebelum ppn naik jadi 12,sehari sebelum ppn naik jadi 12,"['sehari', 'sebelum', 'ppn', 'naik', 'jadi', '12']","['sehari', 'belum', 'ppn', 'naik', 'jadi', '12']","['sehari', 'ppn', '12']","['sehari', 'ppn', '12']"
@asumsico Th 2024: Menolak PPN 12% karena akan membuat harga barang naik dan membebani masyarakat. Th 2015: mendukung kenaikan upah buruh hingga 30% padahal akan membuat harga barang naik dan membebani masyarakat. ,@asumsico th 2024 menolak ppn 12 karena akan membuat harga barang naik dan membebani masyarakat th 2015 mendukung kenaikan upah buruh hingga 30 padahal akan membuat harga barang naik dan membebani masyarakat ,@asumsico tahu 2024 menolak ppn 12 karena akan membuat harga barang naik dan membebani masyarakat tahu 2015 mendukung kenaikan upah buruh hingga 30 padahal akan membuat harga barang naik dan membebani masyarakat ,@asumsico tahu 2024 menolak ppn 12 karena akan membuat harga barang naik dan membebani masyarakat tahu 2015 mendukung kenaikan upah buruh hingga 30 padahal akan membuat harga barang naik dan membebani masyarakat ,@asumsico tahu 2024 menolak ppn 12 karena akan membuat harga barang naik dan membebani masyarakat tahu 2015 mendukung kenaikan upah buruh hingga 30 padahal akan membuat harga barang naik dan membebani masyarakat ,"['tahu', '2024', 'menolak', 'ppn', '12', 'karena', 'akan', 'membuat', 'harga', 'barang', 'naik', 'dan', 'membebani', 'masyarakat', 'tahu', '2015', 'mendukung', 'kenaikan', 'upah', 'buruh', 'hingga', '30', 'padahal', 'akan', 'membuat', 'harga', 'barang', 'naik', 'dan', 'membebani', 'masyarakat']","['tahu', '2024', 'tolak', 'ppn', '12', 'karena', 'akan', 'buat', 'harga', 'barang', 'naik', 'dan', 'beban', 'masyarakat', 'tahu', '2015', 'dukung', 'kenaikan', 'upah', 'buruh', 'hingga', '30', 'padahal', 'akan', 'buat', 'harga', 'barang', 'naik', 'dan', 'beban', 'masyarakat']","['2024', 'tolak', 'ppn', '12', 'harga', 'barang', 'beban', 'masyarakat', '2015', 'dukung', 'kenaikan', 'upah', 'buruh', '30', 'harga', 'barang', 'beban', 'masyarakat']","['2024', 'tolak', 'ppn', '12', 'harga', 'barang', 'beban', 'masyarakat', '2015', 'dukung', 'kenaikan', 'upah', 'buruh', '30', 'harga', 'barang', 'beban', 'masyarakat']"
hp laptop aksesorik elektronik juga ikut naik nantinya. mungkin jg diikutin supermarket dll karna dgn alasan ppn naik 12%. sekalipun kata pemerintah ppn untuk barang2 mewah. gaada urgensinya ini sm kebutuhan msy. optioonal untuk bayar utang eranya jokowi aja. gitu aja ga ngrti,hp laptop aksesorik elektronik juga ikut naik nantinya mungkin jg diikutin supermarket dll karna dgn alasan ppn naik 12 sekalipun kata pemerintah ppn untuk barang2 mewah gaada urgensinya ini sm kebutuhan msy optioonal untuk bayar utang eranya jokowi aja gitu aja ga ngrti,hp laptop aksesorik elektronik juga ikut naik nantinya mungkin juga diikutin supermarket dll karena dengan alasan ppn naik 12 sekalipun kata pemerintah ppn untuk barang-barang mewah enggak ada urgensinya ini sama kebutuhan msy optioonal untuk bayar utang eranya jokowi saja begitu saja enggak mengerti,hp laptop aksesorik elektronik juga ikut naik nantinya mungkin juga diikutin supermarket dl karena dengan alasan ppn naik 12 sekalipun kata pemerintah ppn untuk barang-barang mewah enggak ada urgensinya ini sama kebutuhan msy optioonal untuk bayar utang eranya jokowi saja begitu saja enggak mengerti,hp laptop aksesorik elektronik juga ikut naik nantinya mungkin juga diikutin supermarket dl karena dengan alasan ppn naik 12 sekalipun kata pemerintah ppn untuk barang-barang mewah enggak ada urgensinya ini sama kebutuhan msy optioonal untuk bayar utang eranya jokowi saja begitu saja enggak mengerti,"['hp', 'laptop', 'aksesorik', 'elektronik', 'juga', 'ikut', 'naik', 'nantinya', 'mungkin', 'juga', 'diikutin', 'supermarket', 'dl', 'karena', 'dengan', 'alasan', 'ppn', 'naik', '12', 'sekalipun', 'kata', 'pemerintah', 'ppn', 'untuk', 'barang-barang', 'mewah', 'enggak', 'ada', 'urgensinya', 'ini', 'sama', 'kebutuhan', 'msy', 'optioonal', 'untuk', 'bayar', 'utang', 'eranya', 'jokowi', 'saja', 'begitu', 'saja', 'enggak', 'mengerti']","['hp', 'laptop', 'aksesorik', 'elektronik', 'juga', 'ikut', 'naik', 'nanti', 'mungkin', 'juga', 'ikut', 'supermarket', 'dl', 'karena', 'dengan', 'alas', 'ppn', 'naik', '12', 'sekalipun', 'kata', 'perin', 'ppn', 'untuk', 'barang-barang', 'mewah', 'tidak', 'ada', 'urgensi', 'ini', 'sama', 'butuh', 'msy', 'optioonal', 'untuk', 'bayar', 'utang', 'era', 'jokowi', 'saja', 'begitu', 'saja', 'tidak', 'mengerti']","['hp', 'laptop', 'aksesorik', 'elektronik', 'supermarket', 'dl', 'alas', 'ppn', '12', 'perin', 'ppn', 'barang-barang', 'mewah', 'urgensi', 'butuh', 'msy', 'optioonal', 'bayar', 'utang', 'era', 'jokowi', 'mengerti']","['hp', 'laptop', 'aksesorik', 'elektronik', 'supermarket', 'dl', 'alas', 'ppn', '12', 'perin', 'ppn', 'barang-barang', 'mewah', 'urgensi', 'butuh', 'msy', 'optioonal', 'bayar', 'utang', 'era', 'jokowi', 'mengerti']"
