full_text,lower_case,tweet_tokens,tokens_nltk,tokens_spacy,stems_nltk,stems_spacy,stem_tweet,remove_stop_words_nltk,remove_stop_words_spacy,remove_stop_words_tweet_tokenizer
@likromiahooy Paginya ppn naik 12%,@likromiahooy paginya ppn naik 12%,"['paginya', 'ppn', 'naik', '12', '%']","['@', 'likromiahooy', 'paginya', 'ppn', 'naik', '12', '%']","['@likromiahooy', 'paginya', 'ppn', 'naik', '12', '%']","['@', 'likromiahooy', 'pagi', 'ppn', 'naik', '12', '%']","['@likromiahooy', 'pagi', 'ppn', 'naik', '12', '%']","['pagi', 'ppn', 'naik', '12', '%']","['@', 'likromiahooy', 'paginya', 'ppn', '12', '%']","['@likromiahooy', 'paginya', 'ppn', '12', '%']","['paginya', 'ppn', '12', '%']"
@AdamVelcro 1. Krn sudah dikondisikan di media kalau kenaikan ppn 12% diinisiasi PDIP. Jadi dia berharap kalau tetap naik rakyat akan semakin ga suka dg PDIP. 2. Ini pemerintahan Prabowo. Jadi dia berharap pilpres 2029 rakyat ga milih Prabowo lagi. Tapi akan pilh kang susu asam sulfat,@adamvelcro 1. krn sudah dikondisikan di media kalau kenaikan ppn 12% diinisiasi pdip. jadi dia berharap kalau tetap naik rakyat akan semakin ga suka dg pdip. 2. ini pemerintahan prabowo. jadi dia berharap pilpres 2029 rakyat ga milih prabowo lagi. tapi akan pilh kang susu asam sulfat,"['1', '.', 'krn', 'sudah', 'dikondisikan', 'di', 'media', 'kalau', 'kenaikan', 'ppn', '12', '%', 'diinisiasi', 'pdip', '.', 'jadi', 'dia', 'berharap', 'kalau', 'tetap', 'naik', 'rakyat', 'akan', 'semakin', 'ga', 'suka', 'dg', 'pdip', '.', '2', '.', 'ini', 'pemerintahan', 'prabowo', '.', 'jadi', 'dia', 'berharap', 'pilpres', '2029', 'rakyat', 'ga', 'milih', 'prabowo', 'lagi', '.', 'tapi', 'akan', 'pilh', 'kang', 'susu', 'asam', 'sulfat']","['@', 'adamvelcro', '1.', 'krn', 'sudah', 'dikondisikan', 'di', 'media', 'kalau', 'kenaikan', 'ppn', '12', '%', 'diinisiasi', 'pdip', '.', 'jadi', 'dia', 'berharap', 'kalau', 'tetap', 'naik', 'rakyat', 'akan', 'semakin', 'ga', 'suka', 'dg', 'pdip', '.', '2.', 'ini', 'pemerintahan', 'prabowo', '.', 'jadi', 'dia', 'berharap', 'pilpres', '2029', 'rakyat', 'ga', 'milih', 'prabowo', 'lagi', '.', 'tapi', 'akan', 'pilh', 'kang', 'susu', 'asam', 'sulfat']","['@adamvelcro', '1', '.', 'krn', 'sudah', 'dikondisikan', 'di', 'media', 'kalau', 'kenaikan', 'ppn', '12', '%', 'diinisiasi', 'pdip', '.', 'jadi', 'dia', 'berharap', 'kalau', 'tetap', 'naik', 'rakyat', 'akan', 'semakin', 'ga', 'suka', 'dg', 'pdip', '.', '2', '.', 'ini', 'pemerintahan', 'prabowo', '.', 'jadi', 'dia', 'berharap', 'pilpres', '2029', 'rakyat', 'ga', 'milih', 'prabowo', 'lagi', '.', 'tapi', 'akan', 'pilh', 'kang', 'susu', 'asam', 'sulfat']","['@', 'adamvelcro', '1.', 'krn', 'sudah', 'kondisi', 'di', 'media', 'kalau', 'kenaikan', 'ppn', '12', '%', 'inisiasi', 'pdip', '.', 'jadi', 'dia', 'harap', 'kalau', 'tetap', 'naik', 'rakyat', 'akan', 'semakin', 'tidak', 'suka', 'dg', 'pdip', '.', '2.', 'ini', 'perintah', 'prabowo', '.', 'jadi', 'dia', 'harap', 'pilpres', '2029', 'rakyat', 'tidak', 'pilih', 'prabowo', 'lagi', '.', 'tapi', 'akan', 'pilh', 'kang', 'susu', 'asam', 'sulfat']","['@adamvelcro', '1', '.', 'krn', 'sudah', 'kondisi', 'di', 'media', 'kalau', 'kenaikan', 'ppn', '12', '%', 'inisiasi', 'pdip', '.', 'jadi', 'dia', 'harap', 'kalau', 'tetap', 'naik', 'rakyat', 'akan', 'semakin', 'tidak', 'suka', 'dg', 'pdip', '.', '2', '.', 'ini', 'perintah', 'prabowo', '.', 'jadi', 'dia', 'harap', 'pilpres', '2029', 'rakyat', 'tidak', 'pilih', 'prabowo', 'lagi', '.', 'tapi', 'akan', 'pilh', 'kang', 'susu', 'asam', 'sulfat']","['1', '.', 'krn', 'sudah', 'kondisi', 'di', 'media', 'kalau', 'kenaikan', 'ppn', '12', '%', 'inisiasi', 'pdip', '.', 'jadi', 'dia', 'harap', 'kalau', 'tetap', 'naik', 'rakyat', 'akan', 'semakin', 'tidak', 'suka', 'dg', 'pdip', '.', '2', '.', 'ini', 'perintah', 'prabowo', '.', 'jadi', 'dia', 'harap', 'pilpres', '2029', 'rakyat', 'tidak', 'pilih', 'prabowo', 'lagi', '.', 'tapi', 'akan', 'pilh', 'kang', 'susu', 'asam', 'sulfat']","['@', 'adamvelcro', '1.', 'krn', 'dikondisikan', 'media', 'kenaikan', 'ppn', '12', '%', 'diinisiasi', 'pdip', '.', 'berharap', 'rakyat', 'ga', 'suka', 'dg', 'pdip', '.', '2.', 'pemerintahan', 'prabowo', '.', 'berharap', 'pilpres', '2029', 'rakyat', 'ga', 'milih', 'prabowo', '.', 'pilh', 'kang', 'susu', 'asam', 'sulfat']","['@adamvelcro', '1', '.', 'krn', 'dikondisikan', 'media', 'kenaikan', 'ppn', '12', '%', 'diinisiasi', 'pdip', '.', 'berharap', 'rakyat', 'ga', 'suka', 'dg', 'pdip', '.', '2', '.', 'pemerintahan', 'prabowo', '.', 'berharap', 'pilpres', '2029', 'rakyat', 'ga', 'milih', 'prabowo', '.', 'pilh', 'kang', 'susu', 'asam', 'sulfat']","['1', '.', 'krn', 'dikondisikan', 'media', 'kenaikan', 'ppn', '12', '%', 'diinisiasi', 'pdip', '.', 'berharap', 'rakyat', 'ga', 'suka', 'dg', 'pdip', '.', '2', '.', 'pemerintahan', 'prabowo', '.', 'berharap', 'pilpres', '2029', 'rakyat', 'ga', 'milih', 'prabowo', '.', 'pilh', 'kang', 'susu', 'asam', 'sulfat']"
@exhumaclown rapat ppn krn naik jadi 12% kah?,@exhumaclown rapat ppn krn naik jadi 12% kah?,"['rapat', 'ppn', 'krn', 'naik', 'jadi', '12', '%', 'kah', '?']","['@', 'exhumaclown', 'rapat', 'ppn', 'krn', 'naik', 'jadi', '12', '%', 'kah', '?']","['@exhumaclown', 'rapat', 'ppn', 'krn', 'naik', 'jadi', '12', '%', 'kah', '?']","['@', 'exhumaclown', 'rapat', 'ppn', 'krn', 'naik', 'jadi', '12', '%', 'kah', '?']","['@exhumaclown', 'rapat', 'ppn', 'krn', 'naik', 'jadi', '12', '%', 'kah', '?']","['rapat', 'ppn', 'krn', 'naik', 'jadi', '12', '%', 'kah', '?']","['@', 'exhumaclown', 'rapat', 'ppn', 'krn', '12', '%', 'kah', '?']","['@exhumaclown', 'rapat', 'ppn', 'krn', '12', '%', 'kah', '?']","['rapat', 'ppn', 'krn', '12', '%', 'kah', '?']"
Apakah ini hari pemborosan sebelum ppn naik 12%? ,apakah ini hari pemborosan sebelum ppn naik 12%? ,"['apakah', 'ini', 'hari', 'pemborosan', 'sebelum', 'ppn', 'naik', '12', '%', '?']","['apakah', 'ini', 'hari', 'pemborosan', 'sebelum', 'ppn', 'naik', '12', '%', '?']","['apakah', 'ini', 'hari', 'pemborosan', 'sebelum', 'ppn', 'naik', '12', '%', '?']","['apakah', 'ini', 'hari', 'boros', 'belum', 'ppn', 'naik', '12', '%', '?']","['apakah', 'ini', 'hari', 'boros', 'belum', 'ppn', 'naik', '12', '%', '?']","['apakah', 'ini', 'hari', 'boros', 'belum', 'ppn', 'naik', '12', '%', '?']","['pemborosan', 'ppn', '12', '%', '?']","['pemborosan', 'ppn', '12', '%', '?']","['pemborosan', 'ppn', '12', '%', '?']"
@kompascom Kl pabrik / usaha nya yg memproduksi produk pangan tersebut kena ppn 12% ya berpotensi scr tdk lgs akan naik jg harganya pak..,@kompascom kl pabrik / usaha nya yg memproduksi produk pangan tersebut kena ppn 12% ya berpotensi scr tdk lgs akan naik jg harganya pak..,"['kl', 'pabrik', '/', 'usaha', 'nya', 'yg', 'memproduksi', 'produk', 'pangan', 'tersebut', 'kena', 'ppn', '12', '%', 'ya', 'berpotensi', 'scr', 'tdk', 'lgs', 'akan', 'naik', 'jg', 'harganya', 'pak', '..']","['@', 'kompascom', 'kl', 'pabrik', '/', 'usaha', 'nya', 'yg', 'memproduksi', 'produk', 'pangan', 'tersebut', 'kena', 'ppn', '12', '%', 'ya', 'berpotensi', 'scr', 'tdk', 'lgs', 'akan', 'naik', 'jg', 'harganya', 'pak', '..']","['@kompascom', 'kl', 'pabrik', '/', 'usaha', 'nya', 'yg', 'memproduksi', 'produk', 'pangan', 'tersebut', 'kena', 'ppn', '12', '%', 'ya', 'berpotensi', 'scr', 'tdk', 'lgs', 'akan', 'naik', 'jg', 'harganya', 'pak', '..']","['@', 'kompascom', 'kl', 'pabrik', '/', 'usaha', 'nya', 'yang', 'memproduksi', 'produk', 'pangan', 'sebut', 'kena', 'ppn', '12', '%', 'iya', 'potensi', 'scr', 'tidak', 'lgs', 'akan', 'naik', 'jg', 'harga', 'pak', '..']","['@kompascom', 'kl', 'pabrik', '/', 'usaha', 'nya', 'yang', 'memproduksi', 'produk', 'pangan', 'sebut', 'kena', 'ppn', '12', '%', 'iya', 'potensi', 'scr', 'tidak', 'lgs', 'akan', 'naik', 'jg', 'harga', 'pak', '..']","['kl', 'pabrik', '/', 'usaha', 'nya', 'yang', 'memproduksi', 'produk', 'pangan', 'sebut', 'kena', 'ppn', '12', '%', 'iya', 'potensi', 'scr', 'tidak', 'lgs', 'akan', 'naik', 'jg', 'harga', 'pak', '..']","['@', 'kompascom', 'kl', 'pabrik', '/', 'usaha', 'nya', 'yg', 'memproduksi', 'produk', 'pangan', 'kena', 'ppn', '12', '%', 'ya', 'berpotensi', 'scr', 'tdk', 'lgs', 'jg', 'harganya', '..']","['@kompascom', 'kl', 'pabrik', '/', 'usaha', 'nya', 'yg', 'memproduksi', 'produk', 'pangan', 'kena', 'ppn', '12', '%', 'ya', 'berpotensi', 'scr', 'tdk', 'lgs', 'jg', 'harganya', '..']","['kl', 'pabrik', '/', 'usaha', 'nya', 'yg', 'memproduksi', 'produk', 'pangan', 'kena', 'ppn', '12', '%', 'ya', 'berpotensi', 'scr', 'tdk', 'lgs', 'jg', 'harganya', '..']"
idih besok PPN naik 12% ,idih besok ppn naik 12% ,"['idih', 'besok', 'ppn', 'naik', '12', '%']","['idih', 'besok', 'ppn', 'naik', '12', '%']","['idih', 'besok', 'ppn', 'naik', '12', '%']","['idih', 'besok', 'ppn', 'naik', '12', '%']","['idih', 'besok', 'ppn', 'naik', '12', '%']","['idih', 'besok', 'ppn', 'naik', '12', '%']","['idih', 'besok', 'ppn', '12', '%']","['idih', 'besok', 'ppn', '12', '%']","['idih', 'besok', 'ppn', '12', '%']"
Ini beneran nih besok ppn naik jadi 12%?,ini beneran nih besok ppn naik jadi 12%?,"['ini', 'beneran', 'nih', 'besok', 'ppn', 'naik', 'jadi', '12', '%', '?']","['ini', 'beneran', 'nih', 'besok', 'ppn', 'naik', 'jadi', '12', '%', '?']","['ini', 'beneran', 'nih', 'besok', 'ppn', 'naik', 'jadi', '12', '%', '?']","['ini', 'benar', 'ini', 'besok', 'ppn', 'naik', 'jadi', '12', '%', '?']","['ini', 'benar', 'ini', 'besok', 'ppn', 'naik', 'jadi', '12', '%', '?']","['ini', 'benar', 'ini', 'besok', 'ppn', 'naik', 'jadi', '12', '%', '?']","['beneran', 'nih', 'besok', 'ppn', '12', '%', '?']","['beneran', 'nih', 'besok', 'ppn', '12', '%', '?']","['beneran', 'nih', 'besok', 'ppn', '12', '%', '?']"
Sehari sebelum ppn naik jadi 12%,sehari sebelum ppn naik jadi 12%,"['sehari', 'sebelum', 'ppn', 'naik', 'jadi', '12', '%']","['sehari', 'sebelum', 'ppn', 'naik', 'jadi', '12', '%']","['sehari', 'sebelum', 'ppn', 'naik', 'jadi', '12', '%']","['sehari', 'belum', 'ppn', 'naik', 'jadi', '12', '%']","['sehari', 'belum', 'ppn', 'naik', 'jadi', '12', '%']","['sehari', 'belum', 'ppn', 'naik', 'jadi', '12', '%']","['sehari', 'ppn', '12', '%']","['sehari', 'ppn', '12', '%']","['sehari', 'ppn', '12', '%']"
@asumsico Th 2024: Menolak PPN 12% karena akan membuat harga barang naik dan membebani masyarakat. Th 2015: mendukung kenaikan upah buruh hingga 30% padahal akan membuat harga barang naik dan membebani masyarakat. ,@asumsico th 2024: menolak ppn 12% karena akan membuat harga barang naik dan membebani masyarakat. th 2015: mendukung kenaikan upah buruh hingga 30% padahal akan membuat harga barang naik dan membebani masyarakat. ,"['th', '2024', ':', 'menolak', 'ppn', '12', '%', 'karena', 'akan', 'membuat', 'harga', 'barang', 'naik', 'dan', 'membebani', 'masyarakat', '.', 'th', '2015', ':', 'mendukung', 'kenaikan', 'upah', 'buruh', 'hingga', '30', '%', 'padahal', 'akan', 'membuat', 'harga', 'barang', 'naik', 'dan', 'membebani', 'masyarakat', '.']","['@', 'asumsico', 'th', '2024', ':', 'menolak', 'ppn', '12', '%', 'karena', 'akan', 'membuat', 'harga', 'barang', 'naik', 'dan', 'membebani', 'masyarakat', '.', 'th', '2015', ':', 'mendukung', 'kenaikan', 'upah', 'buruh', 'hingga', '30', '%', 'padahal', 'akan', 'membuat', 'harga', 'barang', 'naik', 'dan', 'membebani', 'masyarakat', '.']","['@asumsico', 'th', '2024', ':', 'menolak', 'ppn', '12', '%', 'karena', 'akan', 'membuat', 'harga', 'barang', 'naik', 'dan', 'membebani', 'masyarakat', '.', 'th', '2015', ':', 'mendukung', 'kenaikan', 'upah', 'buruh', 'hingga', '30', '%', 'padahal', 'akan', 'membuat', 'harga', 'barang', 'naik', 'dan', 'membebani', 'masyarakat', '.']","['@', 'asumsico', 'th', '2024', ':', 'tolak', 'ppn', '12', '%', 'karena', 'akan', 'buat', 'harga', 'barang', 'naik', 'dan', 'beban', 'masyarakat', '.', 'th', '2015', ':', 'dukung', 'kenaikan', 'upah', 'buruh', 'hingga', '30', '%', 'padahal', 'akan', 'buat', 'harga', 'barang', 'naik', 'dan', 'beban', 'masyarakat', '.']","['@asumsico', 'th', '2024', ':', 'tolak', 'ppn', '12', '%', 'karena', 'akan', 'buat', 'harga', 'barang', 'naik', 'dan', 'beban', 'masyarakat', '.', 'th', '2015', ':', 'dukung', 'kenaikan', 'upah', 'buruh', 'hingga', '30', '%', 'padahal', 'akan', 'buat', 'harga', 'barang', 'naik', 'dan', 'beban', 'masyarakat', '.']","['th', '2024', ':', 'tolak', 'ppn', '12', '%', 'karena', 'akan', 'buat', 'harga', 'barang', 'naik', 'dan', 'beban', 'masyarakat', '.', 'th', '2015', ':', 'dukung', 'kenaikan', 'upah', 'buruh', 'hingga', '30', '%', 'padahal', 'akan', 'buat', 'harga', 'barang', 'naik', 'dan', 'beban', 'masyarakat', '.']","['@', 'asumsico', 'th', '2024', ':', 'menolak', 'ppn', '12', '%', 'harga', 'barang', 'membebani', 'masyarakat', '.', 'th', '2015', ':', 'mendukung', 'kenaikan', 'upah', 'buruh', '30', '%', 'harga', 'barang', 'membebani', 'masyarakat', '.']","['@asumsico', 'th', '2024', ':', 'menolak', 'ppn', '12', '%', 'harga', 'barang', 'membebani', 'masyarakat', '.', 'th', '2015', ':', 'mendukung', 'kenaikan', 'upah', 'buruh', '30', '%', 'harga', 'barang', 'membebani', 'masyarakat', '.']","['th', '2024', ':', 'menolak', 'ppn', '12', '%', 'harga', 'barang', 'membebani', 'masyarakat', '.', 'th', '2015', ':', 'mendukung', 'kenaikan', 'upah', 'buruh', '30', '%', 'harga', 'barang', 'membebani', 'masyarakat', '.']"
hp laptop aksesorik elektronik juga ikut naik nantinya. mungkin jg diikutin supermarket dll karna dgn alasan ppn naik 12%. sekalipun kata pemerintah ppn untuk barang2 mewah. gaada urgensinya ini sm kebutuhan msy. optioonal untuk bayar utang eranya jokowi aja. gitu aja ga ngrti,hp laptop aksesorik elektronik juga ikut naik nantinya. mungkin jg diikutin supermarket dll karna dgn alasan ppn naik 12%. sekalipun kata pemerintah ppn untuk barang2 mewah. gaada urgensinya ini sm kebutuhan msy. optioonal untuk bayar utang eranya jokowi aja. gitu aja ga ngrti,"['hp', 'laptop', 'aksesorik', 'elektronik', 'juga', 'ikut', 'naik', 'nantinya', '.', 'mungkin', 'jg', 'diikutin', 'supermarket', 'dll', 'karna', 'dgn', 'alasan', 'ppn', 'naik', '12', '%', '.', 'sekalipun', 'kata', 'pemerintah', 'ppn', 'untuk', 'barang', '2', 'mewah', '.', 'gaada', 'urgensinya', 'ini', 'sm', 'kebutuhan', 'msy', '.', 'optioonal', 'untuk', 'bayar', 'utang', 'eranya', 'jokowi', 'aja', '.', 'gitu', 'aja', 'ga', 'ngrti']","['hp', 'laptop', 'aksesorik', 'elektronik', 'juga', 'ikut', 'naik', 'nantinya', '.', 'mungkin', 'jg', 'diikutin', 'supermarket', 'dll', 'karna', 'dgn', 'alasan', 'ppn', 'naik', '12', '%', '.', 'sekalipun', 'kata', 'pemerintah', 'ppn', 'untuk', 'barang2', 'mewah', '.', 'gaada', 'urgensinya', 'ini', 'sm', 'kebutuhan', 'msy', '.', 'optioonal', 'untuk', 'bayar', 'utang', 'eranya', 'jokowi', 'aja', '.', 'gitu', 'aja', 'ga', 'ngrti']","['hp', 'laptop', 'aksesorik', 'elektronik', 'juga', 'ikut', 'naik', 'nantinya', '.', 'mungkin', 'jg', 'diikutin', 'supermarket', 'dll', 'karna', 'dgn', 'alasan', 'ppn', 'naik', '12', '%', '.', 'sekalipun', 'kata', 'pemerintah', 'ppn', 'untuk', 'barang2', 'mewah', '.', 'gaada', 'urgensinya', 'ini', 'sm', 'kebutuhan', 'msy', '.', 'optioonal', 'untuk', 'bayar', 'utang', 'eranya', 'jokowi', 'aja', '.', 'gitu', 'aja', 'ga', 'ngrti']","['hp', 'laptop', 'aksesorik', 'elektronik', 'juga', 'ikut', 'naik', 'nanti', '.', 'mungkin', 'jg', 'ikut', 'supermarket', 'dll', 'karna', 'dgn', 'alas', 'ppn', 'naik', '12', '%', '.', 'sekalipun', 'kata', 'perin', 'ppn', 'untuk', 'barang2', 'mewah', '.', 'gaada', 'urgensi', 'ini', 'sm', 'butuh', 'msy', '.', 'optioonal', 'untuk', 'bayar', 'utang', 'era', 'jokowi', 'aja', '.', 'gitu', 'aja', 'tidak', 'ngrti']","['hp', 'laptop', 'aksesorik', 'elektronik', 'juga', 'ikut', 'naik', 'nanti', '.', 'mungkin', 'jg', 'ikut', 'supermarket', 'dll', 'karna', 'dgn', 'alas', 'ppn', 'naik', '12', '%', '.', 'sekalipun', 'kata', 'perin', 'ppn', 'untuk', 'barang2', 'mewah', '.', 'gaada', 'urgensi', 'ini', 'sm', 'butuh', 'msy', '.', 'optioonal', 'untuk', 'bayar', 'utang', 'era', 'jokowi', 'aja', '.', 'gitu', 'aja', 'tidak', 'ngrti']","['hp', 'laptop', 'aksesorik', 'elektronik', 'juga', 'ikut', 'naik', 'nanti', '.', 'mungkin', 'jg', 'ikut', 'supermarket', 'dll', 'karna', 'dgn', 'alas', 'ppn', 'naik', '12', '%', '.', 'sekalipun', 'kata', 'perin', 'ppn', 'untuk', 'barang', '2', 'mewah', '.', 'gaada', 'urgensi', 'ini', 'sm', 'butuh', 'msy', '.', 'optioonal', 'untuk', 'bayar', 'utang', 'era', 'jokowi', 'aja', '.', 'gitu', 'aja', 'tidak', 'ngrti']","['hp', 'laptop', 'aksesorik', 'elektronik', '.', 'jg', 'diikutin', 'supermarket', 'dll', 'karna', 'dgn', 'alasan', 'ppn', '12', '%', '.', 'pemerintah', 'ppn', 'barang2', 'mewah', '.', 'gaada', 'urgensinya', 'sm', 'kebutuhan', 'msy', '.', 'optioonal', 'bayar', 'utang', 'eranya', 'jokowi', 'aja', '.', 'gitu', 'aja', 'ga', 'ngrti']","['hp', 'laptop', 'aksesorik', 'elektronik', '.', 'jg', 'diikutin', 'supermarket', 'dll', 'karna', 'dgn', 'alasan', 'ppn', '12', '%', '.', 'pemerintah', 'ppn', 'barang2', 'mewah', '.', 'gaada', 'urgensinya', 'sm', 'kebutuhan', 'msy', '.', 'optioonal', 'bayar', 'utang', 'eranya', 'jokowi', 'aja', '.', 'gitu', 'aja', 'ga', 'ngrti']","['hp', 'laptop', 'aksesorik', 'elektronik', '.', 'jg', 'diikutin', 'supermarket', 'dll', 'karna', 'dgn', 'alasan', 'ppn', '12', '%', '.', 'pemerintah', 'ppn', 'barang', '2', 'mewah', '.', 'gaada', 'urgensinya', 'sm', 'kebutuhan', 'msy', '.', 'optioonal', 'bayar', 'utang', 'eranya', 'jokowi', 'aja', '.', 'gitu', 'aja', 'ga', 'ngrti']"
